chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2024-05-18,67,The Black Dog,Taylor Swift,51,25,3
2024-05-18,68,Back Then Right Now,Tyler Hubbard,65,62,8
2024-05-18,69,Hell N Back,Bakar Featuring Summer Walker,68,53,5
2024-05-18,70,Clara Bow,Taylor Swift,52,21,3
2024-05-18,71,Tucson Too Late,Jordan Davis,91,71,10
2024-05-18,72,Bandit,Don Toliver,92,38,13
2024-05-18,73,Mmhmm,BigXthaPlug,79,63,20
2024-05-18,74,Scared To Start,Michael Marcagi,77,54,12
2024-05-18,75,Enough (Miami),Cardi B,81,9,8
2024-05-18,76,Halfway To Hell,Jelly Roll,83,76,5
2024-05-18,77,The Prophecy,Taylor Swift,56,32,3
2024-05-18,78,Cinderella,Future; Metro Boomin & Travis Scott,76,6,7
2024-05-18,79,Training Season,Dua Lipa,0,27,10
2024-05-18,80,Wind Up Missin' You,Tucker Wetmore,80,75,6
2024-05-18,81,How Did It End?,Taylor Swift,62,35,3
2024-05-18,82,We Ride,Bryan Martin,93,82,5
2024-05-18,83,Dirt Cheap,Cody Johnson,94,83,3
2024-05-18,84,Belong Together,Mark Ambor,87,84,2
2024-05-18,85,Outskirts,Sam Hunt,86,66,9
2024-05-18,86,Si No Quieres No,Luis R Conriquez x Neton Vega,0,86,1
2024-05-18,87,Tu Name,Fuerza Regida,85,66,12
2024-05-18,88,thanK you aIMee,Taylor Swift,59,23,3
2024-05-18,89,The Albatross,Taylor Swift,64,30,3
2024-05-18,90,23,Chayce Beckham,88,45,19
2024-05-18,91,Adivino,Myke Towers & Bad Bunny,63,63,2
2024-05-18,92,Wine Into Whiskey,Tucker Wetmore,96,77,7
2024-05-18,93,II Most Wanted,Beyonce & Miley Cyrus,89,6,6
2024-05-18,94,I Hate It Here,Taylor Swift,66,34,3
2024-05-18,95,Whatsapp (Wassam),Gunna,0,95,1
2024-05-18,96,Spin You Around (1/24),Morgan Wallen,98,24,15
2024-05-18,97,One Of The Girls,The Weeknd; Jennie & Lily Rose Depp,90,51,20
2024-05-18,98,Let's Go,Key Glock & Young Dolph,100,59,9
2024-05-18,99,Take Her Home,Kenny Chesney,0,99,1
2024-05-18,100,Chloe Or Sam Or Sophia Or Marcus,Taylor Swift,69,36,3
2024-05-25,1,I Had Some Help,Post Malone Featuring Morgan Wallen,0,1,1
2024-05-25,2,Not Like Us,Kendrick Lamar,1,1,2
2024-05-25,3,Million Dollar Baby,Tommy Richman,2,2,3
2024-05-25,4,A Bar Song (Tipsy),Shaboozey,5,3,5
2024-05-25,5,Beautiful Things,Benson Boone,9,2,17
2024-05-25,6,Lose Control,Teddy Swims,10,1,40
2024-05-25,7,Like That,Future; Metro Boomin & Kendrick Lamar,6,1,8
2024-05-25,8,Fortnight,Taylor Swift Featuring Post Malone,4,1,4
2024-05-25,9,Espresso,Sabrina Carpenter,8,4,5
2024-05-25,10,Too Sweet,Hozier,11,1,8
2024-05-25,11,Euphoria,Kendrick Lamar,3,3,3
2024-05-25,12,Saturn,SZA,13,6,12
2024-05-25,13,We Can't Be Friends (Wait For Your Love),Ariana Grande,14,1,10
2024-05-25,14,I Can Do It With A Broken Heart,Taylor Swift,15,3,4
2024-05-25,15,Stick Season,Noah Kahan,19,9,33
2024-05-25,16,Down Bad,Taylor Swift,16,2,4
2024-05-25,17,Lovin On Me,Jack Harlow,18,1,27
2024-05-25,18,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,20,1,38
2024-05-25,19,Family Matters,Drake,7,7,2
2024-05-25,20,Cruel Summer,Taylor Swift,24,1,54
2024-05-25,21,Who's Afraid Of Little Old Me?,Taylor Swift,26,9,4
2024-05-25,22,Feather,Sabrina Carpenter,22,21,24
2024-05-25,23,Meet The Grahams,Kendrick Lamar,12,12,2
2024-05-25,24,Miles On It,Marshmello & Kane Brown,37,24,2
2024-05-25,25,Get It Sexyy,Sexyy Red,21,20,9
2024-05-25,26,One Of Wun,Gunna,0,26,1
2024-05-25,27,I Like The Way You Kiss Me,Artemas,23,12,8
2024-05-25,28,Yeah Glo!,GloRilla,29,28,14
2024-05-25,29,Austin,Dasha,34,28,10
2024-05-25,30,But Daddy I Love Him,Taylor Swift,30,7,4
2024-05-25,31,Cowgirls,Morgan Wallen Featuring ERNEST,42,31,22
2024-05-25,32,Greedy,Tate McRae,25,3,35
2024-05-25,33,Type Shit,Future; Metro Boomin; Travis Scott & Playboi Carti,27,2,8
2024-05-25,34,So Long; London,Taylor Swift,28,5,4
2024-05-25,35,Agora Hills,Doja Cat,32,7,34
2024-05-25,36,My Boy Only Breaks His Favorite Toys,Taylor Swift,31,6,4
2024-05-25,37,Where It Ends,Bailey Zimmerman,45,32,20
2024-05-25,38,Guilty As Sin?,Taylor Swift,35,10,4
2024-05-25,39,Boa,Megan Thee Stallion,0,39,1
2024-05-25,40,End Of Beginning,Djo,39,11,13
2024-05-25,41,Florida!!!,Taylor Swift Featuring Florence + The Machine,33,8,4
2024-05-25,42,The Smallest Man Who Ever Lived,Taylor Swift,51,14,4
2024-05-25,43,Gata Only,FloyyMenor X Cris Mj,48,27,9
2024-05-25,44,Good Luck; Babe!,Chappell Roan,46,44,6
2024-05-25,45,The Tortured Poets Department,Taylor Swift,38,4,4
2024-05-25,46,Whatever She Wants,Bryson Tiller,41,19,13
2024-05-25,47,Wanna Be,GloRilla & Megan Thee Stallion,40,11,6
2024-05-25,48,Push Ups,Drake,17,17,4
2024-05-25,49,Texas Hold 'Em,Beyonce,36,1,14
2024-05-25,50,Slow It Down,Benson Boone,52,40,8
2024-05-25,51,Redrum,21 Savage,43,5,18
2024-05-25,52,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,49,1,14
2024-05-25,53,Act II: Date @ 8,4Batz Featuring Drake,47,7,19
2024-05-25,54,On One Tonight,Gunna,0,54,1
2024-05-25,55,loml,Taylor Swift,53,12,4
2024-05-25,56,Wild Ones,Jessie Murph & Jelly Roll,57,35,32
2024-05-25,57,Bulletproof,Nate Smith,64,57,6
2024-05-25,58,The Alchemy,Taylor Swift,56,13,4
2024-05-25,59,FE!N,Travis Scott Featuring Playboi Carti,58,5,28
2024-05-25,60,Prada Dem,Gunna Featuring Offset,0,54,2
2024-05-25,61,So High School,Taylor Swift,65,24,4
2024-05-25,62,Whatsapp (Wassam),Gunna,95,62,2
2024-05-25,63,Fresh Out The Slammer,Taylor Swift,54,11,4
2024-05-25,64,Made For Me,Muni Long,55,20,18
2024-05-25,65,Obsessed,Olivia Rodrigo,59,14,8
2024-05-25,66,Neck On A Yacht,Gunna,0,66,1
2024-05-25,67,Hakuna Matata,Gunna,0,67,1
2024-05-25,68,Halfway To Hell,Jelly Roll,76,68,6
2024-05-25,69,Get In With Me,BossMan DLow,61,49,15
2024-05-25,70,Illusion,Dua Lipa,50,43,5
2024-05-25,71,Back Then Right Now,Tyler Hubbard,68,62,9
2024-05-25,72,imgonnagetyouback,Taylor Swift,62,26,4
2024-05-25,73,Scared To Start,Michael Marcagi,74,54,13
2024-05-25,74,I Can Fix Him (No Really I Can),Taylor Swift,63,20,4
2024-05-25,75,La Durango,Peso Pluma; Junior H & Eslabon Armado,0,75,1
2024-05-25,76,Collage,Gunna,0,76,1
2024-05-25,77,Stargazing,Myles Smith,0,77,1
2024-05-25,78,Wildflowers And Wild Horses,Lainey Wilson,60,48,16
2024-05-25,79,Enough (Miami),Cardi B,75,9,9
2024-05-25,80,The Black Dog,Taylor Swift,67,25,4
2024-05-25,81,Tucson Too Late,Jordan Davis,71,71,11
2024-05-25,82,Hell N Back,Bakar Featuring Summer Walker,69,53,6
2024-05-25,83,Clara Bow,Taylor Swift,70,21,4
2024-05-25,84,Belong Together,Mark Ambor,84,84,3
2024-05-25,85,Wind Up Missin' You,Tucker Wetmore,80,75,7
2024-05-25,86,Bandit,Don Toliver,72,38,14
2024-05-25,87,Si No Quieres No,Luis R Conriquez x Neton Vega,86,86,2
2024-05-25,88,We Ride,Bryan Martin,82,82,6
2024-05-25,89,Dirt Cheap,Cody Johnson,83,83,4
2024-05-25,90,Lose My Breath,Stray Kids Featuring Charlie Puth,0,90,1
2024-05-25,91,Tell Ur Girlfriend,Lay Bankz,66,58,5
2024-05-25,92,Spin You Around (1/24),Morgan Wallen,96,24,16
2024-05-25,93,The Prophecy,Taylor Swift,77,32,4
2024-05-25,94,Back In The A,Gunna,0,94,1
2024-05-25,95,Outskirts,Sam Hunt,85,66,10
2024-05-25,96,23,Chayce Beckham,90,45,20
2024-05-25,97,Wine Into Whiskey,Tucker Wetmore,92,77,8
2024-05-25,98,How Did It End?,Taylor Swift,81,35,4
2024-05-25,99,Cinderella,Future; Metro Boomin & Travis Scott,78,6,8
2024-05-25,100,Think I'm In Love With You,Chris Stapleton,0,91,2
